TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
98,72,00:50,9.02,-0.21,35.27,35.89,337.25,0.03,0.03,0.03,54.27,927.22
65,32,15:50,2.95,51.8,36.8,42.35,48.5,90.36,90.36,90.36,-0.3,0.0
65,57,09:40,9.22,-1.91,33.2,46.02,31.07,0.02,0.02,0.02,-49.33,1217.7
110,45,00:50,4.87,-0.41,32.87,35.34,306.07,0.01,0.01,0.01,-74.64,282.43
99,82,17:20,2.05,-32.66,41.41,32.18,389.6,83.45,83.46,83.46,0.0,0.0
61,152,10:50,7.67,0.1,393.21,25.86,20.81,0.61,0.61,0.61,-29.41,935.49
129,108,13:20,4.97,0.91,30.61,31.45,210.0,0.01,0.01,0.01,13.76,323.41
34,25,11:30,5.07,7.82,16.2,35.62,425.91,0.02,0.02,0.02,-59.59,385.87
67,129,14:40,3.32,-8.85,324.56,33.76,410.19,1.84,1.84,1.84,8.86,42.12
132,186,20:30,3.8,1.12,14.99,32.9,201.4,0.01,0.01,0.01,-31.11,102.87
19,234,17:50,4.36,5.84,1.02,10.07,92.54,0.03,0.03,0.03,21.5,213.5
128,234,20:00,3.23,-1.11,0.92,5.71,178.97,0.03,0.03,0.03,-28.31,129.22
75,30,11:40,2.58,-5.15,26.34,31.04,391.1,0.01,0.01,0.01,-45.15,55.43
59,7,03:30,5.97,-6.65,16.37,25.68,-61.31,4.09,4.09,4.09,69.14,328.42
25,94,01:30,8.05,-1.5,394.04,33.42,335.08,1.4,1.4,1.4,34.88,931.1
12,157,20:50,6.28,-3.09,16.3,22.42,367.31,0.01,0.01,0.01,-134.79,678.85
34,52,18:50,2.49,6.28,25.36,43.81,309.17,0.01,0.01,0.01,-16.38,76.24
8,78,17:20,4.27,-9.94,25.5,36.72,-5.21,0.57,0.57,0.57,-15.24,162.0
126,76,09:30,8.14,-0.68,35.9,31.85,-17.05,-1.98,-1.98,-1.98,110.56,943.78
95,133,02:00,6.1,-0.01,27.55,29.72,274.32,0.01,0.01,0.01,-75.47,518.85
35,162,16:40,4.17,-3.93,26.7,29.15,306.77,0.01,0.01,0.01,-41.07,208.23
125,116,18:40,4.86,-2.94,34.79,43.8,147.13,0.02,0.02,0.02,-7.63,268.59
64,177,21:20,1.9,4.65,19.2,22.42,159.78,0.03,0.04,0.03,-22.55,61.31
23,6,16:50,4.03,8.88,28.17,40.59,401.24,0.01,0.01,0.01,-138.39,195.75
54,201,00:00,4.18,-4.0,8.25,17.67,369.19,0.04,0.04,0.04,-91.61,207.02
64,105,01:50,3.98,1.7,32.15,35.43,-40.4,0.03,0.03,0.02,-40.03,214.13
62,134,21:40,1.96,-0.98,27.24,31.69,17.08,0.01,0.01,0.01,-15.42,36.86
28,228,10:50,1.61,-4.4,-5.57,8.17,365.05,0.04,0.04,0.04,0.64,6.65
131,14,00:00,2.02,4.98,27.49,31.66,271.7,0.01,0.01,0.01,-10.46,16.24
67,141,06:50,7.73,0.04,324.56,27.6,359.07,0.01,0.01,0.01,121.63,901.92
50,206,14:10,10.14,-0.01,-0.86,5.26,-7.47,14.88,14.88,14.88,25.11,385.27
36,40,23:10,5.86,7.99,30.09,39.99,37.41,0.01,0.01,0.01,-135.08,460.18
66,155,18:20,6.02,-0.41,20.73,28.44,138.35,0.18,0.17,0.17,-29.37,463.18
124,30,07:40,4.14,-0.8,20.35,21.4,353.22,0.01,0.01,0.01,-41.81,182.22
134,63,04:10,5.65,4.89,32.49,30.47,-27.08,0.01,0.01,0.01,-84.48,388.61
82,112,05:30,13.77,-2.24,31.0,38.99,-20.1,10.71,10.71,10.71,163.68,1518.52
129,71,03:30,5.37,1.52,28.7,29.72,352.9,0.03,0.02,0.02,-119.89,330.44
110,114,19:30,5.97,2.11,29.9,33.73,105.17,0.01,0.01,0.01,-29.74,411.5
133,94,16:00,8.52,2.74,40.67,40.8,41.81,0.95,0.95,0.95,53.83,1053.38
90,45,08:40,6.92,1.44,26.5,34.62,285.2,0.02,0.01,0.01,32.99,645.16
131,34,20:20,7.87,-9.93,33.77,41.86,143.99,0.03,0.03,0.03,-31.21,667.5
69,23,15:10,3.12,-11.04,28.8,41.92,156.71,0.01,0.01,0.01,-6.27,69.89
9,108,17:40,4.72,0.47,40.39,38.79,115.84,6.08,6.08,6.08,6.75,175.9
126,176,13:50,5.87,-0.86,22.89,20.36,369.4,7.91,7.91,7.91,-259.76,253.6
19,225,17:20,3.94,0.05,-0.52,9.55,114.58,0.01,0.01,0.01,14.83,205.01
28,201,06:00,1.99,5.1,5.51,15.07,171.05,0.03,0.02,0.02,-14.52,56.9
42,162,04:40,8.46,-1.47,12.75,23.59,-28.34,5.09,5.09,5.09,-72.51,679.08
7,1,20:00,12.93,-7.73,36.75,40.48,38.57,3.4,3.4,3.4,5.57,1333.13
25,37,22:00,5.62,-6.45,394.04,33.29,-69.2,0.01,0.01,0.01,-8.01,382.04
102,91,07:40,4.42,-0.35,26.94,33.48,428.51,0.04,0.04,0.04,-42.68,217.83
109,100,04:00,3.45,0.15,32.31,40.3,23.54,0.02,0.03,0.02,-16.51,109.41
47,186,08:00,1.93,-10.09,9.0,23.77,11.19,0.01,0.01,0.01,-12.02,27.51
11,93,21:40,5.0,-3.44,33.27,36.98,390.96,0.03,0.03,0.03,-53.85,268.56
44,155,18:30,4.87,0.78,20.33,26.45,348.48,0.1,0.1,0.1,-58.71,424.65
58,41,14:20,6.95,-3.88,30.81,33.04,144.07,0.01,0.01,0.01,-32.37,573.75
57,164,14:50,0.64,-17.23,15.33,28.74,295.11,89.67,89.67,89.67,-0.3,0.0
103,150,17:20,9.8,-0.45,26.68,33.81,36.12,1.03,1.03,1.03,125.55,1262.51
55,175,12:40,8.27,-0.83,20.59,27.3,327.87,0.04,0.03,0.04,-180.42,982.75
111,218,02:10,6.04,-5.7,-7.21,12.4,372.32,0.03,0.03,0.02,-96.7,410.06
21,138,08:30,4.1,-2.97,18.13,28.07,527.35,0.06,0.06,0.06,-33.89,204.27
62,48,00:00,1.77,6.19,33.33,37.72,-42.29,0.01,0.01,0.01,0.4,6.85
53,69,18:10,8.48,0.0,35.72,44.99,309.44,-1.39,-1.39,-1.39,62.4,844.38
7,158,00:30,10.0,1.12,16.49,22.31,400.93,0.15,0.15,0.15,-141.63,1226.29
51,225,11:10,2.28,3.85,0.54,19.52,196.09,0.01,0.01,0.01,7.41,51.31
131,150,15:20,9.39,-0.37,29.08,43.36,-0.46,1.79,1.79,1.79,148.92,1367.45
111,169,07:50,5.72,-0.37,9.4,23.19,364.28,0.02,0.02,0.03,-85.56,427.23
31,216,15:30,5.41,2.44,-2.71,7.71,270.42,0.02,0.01,0.02,-118.09,372.09
35,65,01:00,5.95,-3.38,30.96,36.25,-59.62,0.01,0.01,0.01,-44.34,482.53
58,87,21:00,6.72,-2.48,37.9,41.18,408.29,0.01,0.01,0.01,58.83,589.76
4,159,18:40,2.48,53.97,32.79,26.6,106.3,89.45,89.44,89.44,0.0,0.0
48,183,08:50,4.47,-3.82,12.06,22.22,153.79,0.01,0.01,0.01,-73.9,274.79
6,173,18:50,7.71,-4.4,22.75,37.29,285.18,0.01,0.01,0.01,-128.73,861.54
131,201,02:00,4.14,3.85,7.5,18.39,494.19,0.01,0.01,0.01,-61.09,217.54
121,245,18:30,5.31,0.53,394.33,6.5,232.51,0.01,0.01,0.0,-47.42,410.09
15,10,03:00,7.92,159.38,16.2,20.9,-20.85,84.74,89.7,84.73,0.0,0.0
70,137,09:30,5.23,-0.29,23.82,33.87,328.3,0.02,0.02,0.02,-98.76,359.32
36,203,01:30,11.74,-1.51,8.2,18.0,-0.88,10.83,10.83,10.83,109.37,1063.07
98,124,12:00,2.24,2.03,30.24,31.55,419.71,1.07,1.07,1.07,-0.88,31.3
97,56,11:20,6.97,-1.5,32.93,35.35,-215.85,0.01,0.01,0.01,-112.34,591.92
61,25,12:30,4.36,3.89,393.21,23.2,440.01,0.03,0.02,0.03,-14.23,336.34
39,198,02:40,6.02,-4.65,11.9,18.66,-114.4,0.02,0.02,0.02,-81.42,390.54
36,71,17:10,1.45,5.78,39.78,49.14,241.85,21.24,21.24,21.24,2.24,13.4
123,40,18:50,3.87,-115.72,33.45,30.46,-175.96,90.21,90.36,90.34,0.0,0.0
99,83,18:10,3.15,-8.36,16.17,15.63,404.27,81.28,81.29,81.28,0.0,0.0
82,205,06:40,5.41,0.79,-7.0,11.55,-21.29,6.11,6.11,6.11,-98.84,326.04
132,53,05:20,2.72,-2.85,21.62,42.46,173.52,0.01,0.01,0.01,8.97,48.25
61,121,11:00,4.87,5.64,393.21,27.9,17.34,0.02,0.02,0.02,-40.77,424.02
24,76,02:10,8.24,-73.74,392.54,30.42,58.6,89.95,89.98,89.98,0.0,0.0
49,198,21:20,15.18,-5.72,13.1,22.7,333.81,12.27,12.27,12.27,150.9,1519.37
23,154,21:20,1.95,3.92,21.01,28.13,407.18,0.01,0.01,0.01,4.16,30.23
119,175,04:10,7.31,-4.83,18.59,19.16,438.68,0.12,0.12,0.12,50.8,897.49
31,202,14:10,8.68,-0.67,11.11,19.72,258.12,0.23,0.23,0.23,15.32,960.06
107,122,21:50,3.68,-4.5,24.46,30.59,166.69,0.04,0.04,0.04,1.09,130.93
123,41,09:10,2.63,3.54,25.28,26.52,-339.46,0.01,0.01,0.01,-37.67,98.75
74,211,03:10,7.05,-1.73,0.53,17.66,384.55,0.03,0.03,0.03,-230.08,866.92
54,202,10:10,6.18,1.88,6.7,18.09,177.97,0.03,0.03,0.03,111.26,631.82
2,83,13:20,11.13,1.61,20.57,34.79,220.85,4.09,4.09,4.09,136.15,1469.52
80,27,08:20,2.08,-47.18,20.99,33.79,239.25,89.61,89.67,89.65,-0.3,0.0
41,178,23:20,7.71,-0.7,13.78,19.4,282.17,3.56,3.56,3.56,21.97,952.01
38,90,16:40,3.37,-6.85,394.04,39.41,201.11,52.89,52.9,52.9,-0.3,28.54
119,237,20:20,2.97,0.37,2.66,6.9,319.07,0.04,0.04,0.04,-20.62,105.56
96,181,08:50,5.47,-4.28,11.03,14.79,161.43,0.05,0.05,0.05,-89.18,357.13
6,44,23:20,7.4,-5.15,31.29,42.06,120.49,0.01,0.01,0.01,-108.26,627.4
126,233,18:20,4.04,-1.19,5.68,9.24,170.61,-1.99,-1.99,-1.99,-31.02,174.17
82,141,08:00,9.38,-2.2,22.53,31.81,328.79,0.01,0.01,0.01,160.43,1200.22
103,191,19:10,4.64,-1.65,17.67,24.72,152.85,0.03,0.02,0.02,-68.0,270.11
58,129,06:40,3.53,-3.34,24.69,28.71,373.22,1.17,1.17,1.17,-38.8,189.45
124,60,23:20,11.29,-1.4,30.56,32.49,393.73,24.11,24.09,24.1,94.27,857.11
109,172,11:10,8.42,-1.03,15.14,25.07,139.48,11.11,11.11,11.11,-34.66,321.35
44,56,09:00,6.74,-0.47,28.59,36.8,145.34,0.02,0.02,0.02,50.04,791.74
95,98,08:00,8.38,-3.03,30.36,31.25,242.78,2.31,2.31,2.31,101.82,875.19
93,48,11:40,3.92,-1.62,34.3,36.4,210.83,0.03,0.03,0.03,-36.98,147.3
62,136,23:50,7.26,-3.23,23.11,28.63,428.93,0.01,0.01,0.01,-51.37,686.21
57,62,12:40,6.4,0.35,32.65,44.64,304.54,0.01,0.01,0.02,-41.77,588.27
50,96,12:00,9.1,0.34,35.48,45.84,333.21,0.86,0.86,0.86,114.87,1136.47
36,85,07:20,9.57,1.05,25.99,31.07,243.75,2.15,2.15,2.14,26.78,1299.93
100,5,22:40,6.1,-3.63,24.87,27.57,23.12,0.02,0.03,0.02,-40.13,381.62
123,153,10:20,2.67,0.72,15.05,17.89,156.29,0.02,0.02,0.02,-15.13,126.63
112,90,01:10,3.55,-0.36,32.43,34.61,-21.42,-0.99,-0.99,-0.99,-21.31,151.37
123,80,13:00,2.2,1.26,35.94,36.36,1.56,0.01,0.01,0.01,1.99,80.84
33,154,03:20,4.36,-1.79,15.22,24.8,74.61,0.01,0.01,0.01,-54.65,234.32
71,114,20:20,3.11,0.3,27.67,35.88,-3.49,0.01,0.02,0.01,-11.41,135.51
80,213,11:00,0.78,11.47,1.34,21.29,178.39,89.68,89.68,89.67,-0.3,0.0
67,141,23:40,11.2,-0.16,324.56,33.7,348.82,4.54,4.54,4.54,168.95,1520.18
132,240,02:10,1.77,-25.39,-1.13,17.11,292.2,89.57,89.4,89.77,-0.3,0.0
58,147,18:40,5.03,2.0,29.94,31.62,152.08,0.01,0.01,0.01,-32.41,287.16
59,129,02:20,7.04,-1.21,27.15,33.18,288.84,11.06,11.06,11.06,23.0,224.38
37,78,17:10,4.07,-5.0,25.57,30.36,138.19,0.01,0.01,0.01,-12.78,200.52
134,216,07:50,6.17,2.75,-3.56,0.51,350.59,0.01,0.01,0.01,20.83,559.19
41,127,00:30,8.27,-2.67,31.6,36.93,305.17,15.56,15.56,15.56,-37.88,225.47
91,133,01:00,8.16,0.5,29.08,33.58,194.39,0.52,0.51,0.52,-147.6,1050.23
54,29,15:50,11.43,2.28,28.8,34.08,323.46,5.41,5.41,5.41,130.1,1397.04
15,172,18:00,13.12,-3.82,22.13,26.7,315.75,9.31,9.31,9.31,133.57,1516.01
32,225,18:20,3.66,-5.99,2.09,6.56,145.98,0.01,0.01,0.01,-50.35,171.95
4,78,23:00,6.74,0.25,27.08,29.97,24.13,0.01,0.01,0.01,-84.93,757.19
2,175,20:30,10.97,-5.44,15.51,27.84,367.8,-0.99,-0.99,-0.99,-250.76,1337.21
30,205,14:10,4.85,1.53,-0.66,16.4,17.01,-0.49,-0.49,-0.49,-68.95,239.4
99,183,07:10,4.28,6.72,14.1,11.77,41.51,0.01,0.03,0.01,-57.71,184.6
112,212,11:20,3.79,-7.59,3.92,12.18,534.14,-0.99,-0.99,-0.99,-65.23,188.09
39,18,19:00,11.35,3.67,30.32,37.43,211.73,14.51,14.51,14.51,-78.9,385.07
128,173,06:50,2.32,-2.61,10.33,13.16,173.8,0.04,0.04,0.04,-14.98,61.47
47,213,07:00,2.52,-4.18,0.26,20.86,348.79,0.04,0.05,0.04,-127.75,107.06
51,28,15:10,9.05,0.69,32.13,43.2,147.09,1.79,1.79,1.79,41.33,1213.2
38,140,19:40,5.11,-4.73,394.04,30.82,374.92,0.02,0.02,0.01,-31.02,236.64
99,213,04:00,6.98,-0.33,5.79,6.43,255.07,0.01,0.01,0.01,-16.34,736.74
17,204,22:50,4.29,-6.46,-0.85,12.59,-199.13,0.01,0.01,0.01,-79.19,251.18
5,126,21:20,8.0,-5.86,33.38,35.79,383.34,5.22,5.22,5.22,-11.46,618.94
36,150,04:00,14.0,-2.63,22.14,31.59,-23.12,12.2,12.2,12.2,177.47,1519.45
16,125,14:10,5.52,3.0,33.65,36.39,335.82,0.03,0.04,0.03,-11.25,392.66
29,10,13:30,8.35,-2.41,20.03,31.76,411.94,0.12,0.12,0.12,-11.12,964.54
68,140,03:40,3.05,-2.99,393.71,23.87,302.31,0.03,0.03,0.03,-25.94,90.5
77,101,06:50,2.16,2.14,31.31,36.29,408.2,0.01,0.01,0.01,-6.32,43.66
11,21,22:20,15.66,5.95,27.19,32.05,261.58,14.04,14.04,14.04,147.06,1520.15
51,210,10:00,7.02,-3.5,-1.3,21.9,317.23,0.04,0.04,0.04,-41.73,914.18
38,58,07:50,2.62,-2.28,394.04,25.04,173.66,0.01,0.01,0.01,-47.96,59.69
47,107,13:40,3.48,-6.58,25.79,38.7,195.58,0.01,0.02,0.01,-6.38,131.59
16,152,03:50,8.2,3.09,19.64,26.28,-21.15,0.04,0.05,0.04,75.4,1119.87
80,127,21:00,3.29,3.24,33.7,37.71,158.42,0.04,0.03,0.02,-3.74,144.95
5,53,22:50,4.31,-5.71,32.09,34.62,190.43,0.04,0.04,0.04,-53.63,203.84
70,220,13:50,1.92,7.28,9.8,26.46,26.05,0.01,0.01,0.01,0.75,47.52
66,127,06:40,4.68,-2.31,27.08,34.59,308.52,0.04,0.03,0.03,-43.16,221.97
39,132,16:10,2.0,1.1,34.98,39.04,263.58,8.67,8.68,8.67,0.45,0.63
8,81,12:20,3.1,9.61,37.72,45.95,224.05,52.37,52.37,52.38,-2.55,16.0
80,81,14:10,2.18,-17.25,40.24,47.98,43.52,83.29,88.26,88.28,-0.3,0.0
3,139,18:40,2.33,-2.15,29.38,39.32,-17.31,0.01,0.01,0.01,-6.46,53.49
43,18,22:20,8.56,-2.64,25.59,31.43,331.47,0.57,0.57,0.57,13.15,1118.68
14,230,07:10,1.13,-16.71,-0.4,10.95,380.78,90.13,90.39,89.9,-0.3,0.0
102,157,07:20,12.72,4.51,9.61,21.28,60.1,7.61,7.61,7.61,124.94,1516.21
76,149,00:40,6.43,-1.68,22.46,25.38,130.54,0.86,0.86,0.86,-14.24,600.72
17,35,20:40,5.12,49.68,37.77,33.99,17.49,90.38,90.35,90.38,0.0,0.0
67,20,17:40,4.99,-4.49,324.56,34.23,-287.94,0.01,0.01,0.01,-62.68,222.36
80,196,09:40,7.5,-2.13,13.01,25.79,-15.32,0.14,0.14,0.14,-59.27,847.37
102,77,15:30,5.87,-1.47,32.55,39.25,289.32,0.01,0.01,0.01,-82.38,422.39
77,128,08:00,2.92,6.8,24.84,32.02,217.32,0.02,0.02,0.02,-20.31,106.04
67,28,16:40,15.28,5.0,324.56,36.23,182.66,13.39,13.39,13.39,99.03,884.15
49,24,21:30,6.83,0.82,21.76,28.79,312.55,0.01,0.01,0.01,-51.47,765.35
114,68,20:40,4.72,4.95,38.33,38.89,127.27,-0.49,-0.49,-0.49,-53.17,199.51
88,106,19:30,10.39,2.23,38.09,42.9,507.87,5.77,5.77,5.77,114.61,1153.86
33,157,02:20,9.53,-3.13,13.97,27.99,78.6,0.77,0.77,0.77,-139.9,1438.02
54,200,08:40,1.49,1.12,5.26,15.6,366.33,0.01,0.01,0.01,-3.05,12.91
66,212,00:50,1.65,7.36,-1.0,13.3,587.27,0.04,0.04,0.04,-31.09,44.27
26,50,12:40,4.64,5.33,36.33,39.43,-67.42,0.01,0.01,0.01,-18.91,285.01
61,88,22:30,7.17,-1.94,393.21,41.35,49.86,0.01,0.01,0.01,-119.19,681.12
23,177,21:00,2.67,-6.65,20.44,27.75,178.48,0.01,0.04,0.01,-27.78,94.7
61,68,05:00,2.96,1.08,393.21,37.79,286.05,0.01,0.01,0.01,-105.28,141.77
123,95,11:40,11.3,2.33,34.32,37.49,375.24,10.05,10.05,10.05,166.94,1083.57
124,69,14:40,7.51,-2.65,35.17,36.21,403.57,0.03,0.03,0.03,-1.97,437.3
39,76,10:20,10.26,-0.75,31.69,39.99,-132.88,0.2,0.2,0.2,97.3,1230.23
106,127,11:00,2.22,-0.05,32.36,41.74,342.45,6.68,6.68,6.68,-0.49,21.85
67,116,20:00,6.59,-3.77,324.56,34.89,229.52,0.03,0.03,0.02,-68.75,430.2
59,176,09:50,5.53,1.65,15.72,22.58,325.45,5.61,5.61,5.61,-88.65,317.47
105,196,04:40,6.96,0.42,12.33,20.66,-26.14,1.01,1.01,1.01,93.08,801.31
70,60,21:20,18.1,2.04,32.12,43.82,166.34,18.05,18.05,18.05,-35.16,1519.42
28,162,02:40,9.71,10.63,18.01,20.27,326.53,44.56,44.58,44.58,-3.94,183.97
115,60,10:50,8.24,0.29,24.2,34.75,220.16,0.04,0.01,0.03,68.51,723.13
69,105,08:30,2.14,-5.28,28.31,31.59,354.05,0.01,0.01,0.01,2.82,40.37
14,4,06:40,10.86,-6.11,21.75,26.87,-8.2,1.17,1.17,1.17,163.22,1385.26
45,37,15:10,7.51,4.01,36.46,55.11,7.35,6.29,6.29,6.29,-43.43,338.47
39,228,16:50,3.39,1.89,3.45,16.52,397.12,0.01,0.01,0.01,1.77,118.47
131,178,11:20,2.62,3.08,14.21,25.15,12.37,0.05,0.05,0.05,-26.06,95.67
17,201,02:30,3.08,3.73,10.04,18.81,9.91,0.01,0.01,0.01,-39.64,115.13
133,136,04:40,5.01,-0.55,19.99,21.56,393.02,0.21,0.21,0.21,-0.77,434.88
32,114,20:10,3.73,0.94,28.24,28.91,-232.59,0.02,0.01,0.01,3.19,152.2
94,202,16:10,6.53,-0.42,12.72,16.96,23.1,0.43,0.43,0.43,-24.69,625.48
1,83,12:10,12.49,-2.36,28.53,39.93,194.79,1.08,1.08,1.08,-0.24,1548.32
103,55,05:00,3.64,1.56,26.79,30.49,366.69,0.04,0.03,0.03,-41.19,161.83
111,168,07:00,3.14,-3.06,9.5,21.0,361.2,0.01,0.01,0.01,-20.5,100.01
119,125,14:30,4.54,-3.82,35.9,34.38,72.21,2.14,2.14,2.14,-8.53,179.79
3,234,21:50,3.69,1.72,-0.2,15.19,103.38,0.03,0.03,0.02,-17.47,163.17
72,37,17:10,7.22,2.13,37.92,49.24,29.83,0.03,0.02,0.03,-44.09,662.52
24,235,22:40,6.68,-2.09,392.54,4.3,194.15,-1.67,-1.67,-1.67,-3.84,909.12
37,226,12:30,6.21,-0.09,-2.19,11.07,236.08,0.03,0.03,0.02,-4.69,641.22
76,163,13:30,5.05,-2.28,17.9,19.16,173.07,3.67,3.67,3.67,-27.51,205.83
81,153,18:30,5.91,2.08,23.06,32.4,118.23,0.01,0.01,0.01,-85.22,464.24
98,63,02:40,4.39,1.79,32.63,32.99,0.78,0.01,0.01,0.01,-50.61,184.9
83,88,21:10,4.62,-2.81,34.31,40.2,394.83,0.01,0.01,0.01,-49.79,266.65
93,11,07:50,9.14,-0.15,14.64,17.68,184.53,8.22,8.22,8.22,111.61,1234.24
52,56,08:40,8.38,4.05,30.86,46.4,-208.08,0.01,0.01,0.02,104.0,982.86
23,216,12:40,6.68,1.63,-1.83,14.2,360.32,0.02,0.02,0.02,27.02,749.28
66,143,00:20,12.76,0.81,23.29,33.49,280.08,8.01,8.01,8.01,183.38,1512.42
115,132,01:40,3.41,-2.2,20.2,29.64,225.91,0.02,0.02,0.02,8.01,99.01
22,109,13:20,4.74,2.9,40.07,36.48,197.21,2.26,2.26,2.26,1.43,211.45
66,188,14:30,6.11,-0.35,13.81,22.88,148.85,0.01,0.01,0.01,-129.28,505.17
56,120,22:50,2.59,-0.43,23.53,29.19,209.13,0.01,0.01,0.01,-2.58,93.28
64,132,12:20,5.73,1.0,30.75,33.59,379.49,0.01,0.01,0.01,-84.89,474.8
115,31,17:20,8.67,-2.2,24.49,32.59,18.34,0.01,0.01,0.01,29.73,634.75
125,139,18:50,2.5,-6.12,27.69,41.0,132.67,25.1,25.1,25.1,-1.94,28.92
53,192,10:30,1.81,-12.49,10.0,24.9,143.78,90.17,90.17,90.17,0.0,0.0
57,75,04:40,4.68,2.0,27.74,38.85,201.3,0.01,0.01,0.01,-62.32,302.48
108,218,04:30,4.77,0.48,-9.21,17.7,329.58,0.01,0.01,0.01,-72.61,353.46
66,238,20:10,3.39,-0.75,-2.73,12.55,158.33,0.01,0.01,0.01,-30.77,124.64
114,182,06:00,8.77,3.59,13.24,16.44,-2.51,0.01,0.01,0.01,-15.46,831.72
85,27,03:30,3.06,6.09,16.92,22.64,177.13,0.01,0.01,0.01,-34.19,119.84
120,239,05:10,1.92,-1.99,0.1,1.98,60.8,0.03,0.04,0.03,0.24,24.19
98,89,15:30,1.74,6.74,43.16,45.1,391.16,83.95,83.96,83.95,-0.3,0.0
123,230,18:40,1.77,-4.03,0.23,9.03,182.33,0.02,0.02,0.02,-11.8,47.79
133,185,00:10,3.09,4.0,12.07,14.16,202.98,0.01,0.01,0.01,-49.62,151.45
28,94,23:40,10.49,-4.62,33.62,42.61,349.56,1.89,1.89,1.89,10.97,1419.8
33,51,18:10,5.38,1.32,37.86,47.12,307.68,0.03,0.03,0.03,-64.39,379.08
96,153,12:20,2.93,3.13,18.5,20.11,2.13,2.98,2.97,2.98,-17.23,127.32
22,126,11:50,3.35,-1.08,40.84,36.64,411.66,0.03,0.02,0.02,2.89,134.7
124,112,11:50,16.2,0.62,34.74,38.18,230.49,19.32,19.32,19.32,157.33,1186.04
121,86,05:40,1.98,-2.21,394.33,27.5,259.07,0.01,0.01,0.01,-5.13,38.32
80,216,20:40,4.22,0.48,-4.8,14.2,365.78,0.01,0.01,0.01,-87.17,262.4
49,122,17:50,3.96,1.52,29.89,34.42,200.6,0.04,0.04,0.03,-19.45,196.8
31,6,13:50,4.24,4.09,23.75,27.9,-52.48,2.02,2.02,2.02,-16.75,155.33
131,222,10:50,4.73,-3.27,-2.39,11.58,148.91,1.4,1.4,1.4,-82.35,271.27
127,12,06:50,2.97,2.16,27.65,35.05,286.36,0.01,0.01,0.01,-91.37,147.79
99,78,02:20,4.36,-4.87,31.87,30.96,173.71,0.01,0.01,0.01,-33.91,176.07
45,221,17:10,6.01,-6.27,1.87,14.05,281.61,0.04,0.04,0.03,-89.65,431.09
23,30,10:00,4.35,4.88,24.33,39.26,380.78,0.01,0.01,0.01,-20.46,246.76
77,37,19:40,11.79,-1.65,31.53,35.97,-34.56,3.95,3.95,3.95,179.43,1475.05
49,94,22:50,8.34,-2.17,33.26,41.09,293.92,0.01,0.01,0.01,-19.42,1067.52
50,42,13:50,6.02,5.33,32.84,38.37,152.55,0.01,0.01,0.01,-0.19,474.02
53,195,21:30,6.41,1.7,11.82,30.12,141.48,-1.49,-1.49,-1.49,-120.05,431.8
103,179,22:50,3.51,-6.08,15.45,23.26,343.97,0.03,0.03,0.02,-66.17,161.99
108,118,17:30,5.54,-5.65,25.99,50.79,10.51,0.03,0.03,0.04,32.92,218.86
97,121,08:30,4.19,1.39,21.43,22.22,-39.88,0.01,0.01,0.01,-12.25,154.78
125,14,23:40,4.17,-7.14,24.1,37.51,596.71,0.01,0.01,0.01,-65.39,188.64
98,199,04:50,12.6,0.37,13.63,18.64,12.76,8.43,8.43,8.43,156.14,1519.73
88,205,16:30,3.85,0.42,0.33,7.03,370.8,0.53,0.52,0.53,-56.51,207.14
17,43,17:30,7.85,1.02,28.71,32.71,145.41,0.01,0.01,0.01,67.2,848.64
8,137,08:50,5.23,2.49,19.64,28.75,101.17,49.14,49.15,49.15,-13.13,89.91
61,124,02:00,3.34,1.27,393.21,31.96,333.24,0.03,0.03,0.03,-28.11,156.81
81,174,15:40,4.21,1.01,24.09,33.99,127.38,0.01,0.01,0.01,-46.79,231.77
37,198,23:40,16.64,8.27,14.24,22.98,-134.4,15.21,15.21,15.21,184.64,1519.55
24,189,11:40,4.05,0.51,392.54,12.6,208.13,-0.64,-0.64,-0.64,-77.9,220.2
4,205,15:30,4.25,7.15,6.07,6.1,405.6,0.04,0.04,0.04,-77.66,266.36
60,143,03:20,10.34,0.8,25.05,35.43,179.05,3.78,3.78,3.78,-319.15,1423.29
121,211,01:00,7.63,0.03,394.33,6.59,408.04,1.18,1.18,1.18,-67.59,1000.12
132,227,17:30,3.84,-5.12,-0.4,18.1,446.6,0.0,0.01,0.01,-8.06,147.5
76,25,04:00,4.71,-1.9,18.94,19.67,496.6,0.02,0.02,0.02,0.07,216.25
57,202,19:20,8.45,-0.93,11.67,25.69,-78.23,7.68,7.68,7.68,97.89,533.71
83,24,13:00,7.62,6.17,24.18,31.75,185.11,1.03,1.03,1.03,-0.15,695.71
69,131,22:50,6.69,-3.56,26.6,29.93,-4.81,-0.4,-0.4,-0.4,18.84,628.8
30,21,03:10,3.1,6.27,31.7,39.8,293.04,0.01,0.01,0.01,15.85,72.71
5,172,04:30,4.17,5.24,10.8,15.97,167.87,0.03,0.03,0.03,-49.79,280.76
40,174,12:30,2.37,-1.63,30.58,28.86,153.2,0.01,0.01,0.01,-6.73,40.51
46,177,03:10,6.47,-0.97,15.0,26.33,330.94,0.22,0.22,0.22,-241.62,867.25
98,201,11:40,3.67,-0.9,6.05,9.86,203.91,0.01,0.01,0.01,12.04,156.09
